A,NYSE MKT LLC
B,"NASDAQ OMX BX, Inc."
C,National Stock Exchange Inc. (NSX)
D,"Financial Industry Regulatory Authority, Inc. (FINRA ADF)"
I,"International Securities Exchange, LLC (ISE)"
J,"Bats EDGA Exchange, INC"
K,"Bats EDGX Exchange, Inc."
M,"Chicago Stock Exchange, Inc. (CHX)"
N,New York Stock Exchange LLC
P,"NYSE Arca, Inc."
S,Consolidated Tape System
T,"NASDAQ Stock Exchange, LLC (in Tape A, B securities)"
Q,"NASDAQ Stock Exchange, LLC (in Tape C securities)"
V,"The Investors’ Exchange, LLC (IEX)"
W,"Chicago Broad Options Exchange, Inc.(CBOE)"
X,"NASDAQ OMX PSX, Inc. LLC"
Y,"Bats BYX Exchange, Inc."
Z,"Bats BZX Exchange, Inc."
